osm_id,name,road_ref,road_class,max_speed,city,geog
"[1055243618, 1321587907, 1055243620, 1055243619, 37344100, 1370717620, 1370717621]",Úzká,,secondary,50,Brno,01020000000A000000385B8AF5579D30405B7B9FAA42984840D3307C444C9D3040C7DBA56840984840CB417518389D304046DBE7E73C984840C21B2D62339D30409AC5D5123C984840AC866984239D3040FA63B5543998484095078E70FF9C3040DAD3C4F1329848404959D0C5F09C30407C6132553098484093CC45D7E09C3040C5BD439B2D98484080249122D79C30401FF5D72B2C9848405E51A5C1C89C3040C13A8E1F2A984840
1174237670,Bratislavská,,residential,30,Brno,010200000002000000FD5C7EF1569F30402BDF3312A1994840AFE309CE2A9F3040ECD33B269C994840
4064503,Hvězdová,,residential,30,Brno,010200000005000000FD5C7EF1569F30402BDF3312A1994840936A44D5549F30406AEA2BFEA5994840641AF274539F3040C10F1835A9994840FEBB992C499F3040027BF1EAC1994840CA52EBFD469F3040655CCC2AC7994840
4079549,Hoštická,,residential,,Brno,01020000000B000000FDD8C9856F8630405FC31DB97F9648401CA1551CBD863040B741EDB77696484065767176C686304077FC72C174964840BA89B553CE863040DDCD531D7296484064737A83D4863040F7ED7FDB6E964840ED174740E0863040CCCFB2936696484004B97A04ED863040B24AE9995E9648402A38BC20228730401F5DB6E743964840C06268D02B8730408634CFB63F9648403AB42330318730409F0C44053D964840B1886187318730402AA09ADC39964840
"[32348336, 32348337, 4303960, 1321586458, 1321586459, 1008621439]","['U smyčky', 'Práčata']",,residential,,Brno,01020000000F000000FDD8C9856F8630405FC31DB97F9648407E4F519A7286304076F97BCE82964840D0413CB775863040682BE56B859648409E0D5421798630404FF74BD587964840D51B5A098286304064F327E08D9648406F360CD583863040B12E13EA8E964840B0A998EF85863040BC7A70D28F964840841E7B0789863040DA5FD108919648406589CE328B86304044E2790492964840A6FC5A4D8D8630400E9B6D139396484016985F178F863040FCCD1F2E9496484045A0FA0791863040BA7C355195964840C7365FDB9186304024FFDD4C96964840A374E95F928630405FFDE9509796484068E66E7C92863040C404DAC298964840
48024741,Hoštická,,residential,,Brno,010200000006000000FDD8C9856F8630405FC31DB97F964840BD7960B653853040C5FF1D51A19648403175FCBC4E853040A770A9EFA19648400F971C774A8530404E25A886A29648403E65EBCF3485304004673A85A6964840380FCC762A85304074305173A8964840
8584953,Jihlavská,602,secondary,70,Brno,0102000000040000009BB5CA02DC983040B9E92A38179648401203136EE89830402416E75E169648409CC7BCE9F1983040F535261F1696484058F49892F698304066A9503816964840
49341658,Vídeňská,,secondary,50,Brno,0102000000030000009BB5CA02DC983040B9E92A381796484058CE39D3DF98304056C0988812964840C5515ED0E79830402B604C4409964840
"[240703400, 464565611, 240703399]",Vídeňská,,secondary,50,Brno,01020000000C0000009BB5CA02DC983040B9E92A38179648402EFE5B6ED5983040D2263DC21F96484054B8D4F7D09830404C022F8E25964840D2414DE3CD983040AFA18AD1299648407094BC3AC79830406D11627836964840EEFD5767C6983040E988320A3896484011137937BB9830409654127E4E9648405C7BFA63B5983040EF88AF1B5B9648409A35C2ECAF98304079BDEAB765964840BA3203F0AA9830400EE896676F964840FDE54988A8983040B3D2A41474964840B1F84D61A5983040508479347A964840
421591256,Jihlavská,602,secondary,50,Brno,0102000000050000009BB5CA02DC983040B9E92A3817964840EE1A3E33D29830401E81898917964840A219D533CE9830401277AB9D17964840239B502DC7983040E82510C0179648402CDA77A0A9983040B95FF4CB16964840
40709831,Pražská,602,secondary,50,Brno,0102000000040000009CCD99A37D88304001BAD4AD43964840BC79AA436E8830403E82D19B409648400025F4E967883040AAF644323F964840D7B331C04F883040E8C479933A964840
