"id","external_ids","event_time","ingested_at","first_seen","last_seen","location_geog","city","street_name","road_number","road_type_code","accident_type","accident_subtype","cause_primary","cause_secondary","severity","fatalities_count","serious_injuries","minor_injuries","persons_involved","vehicles_involved","damage_czk","damage_category","weather_condition","road_surface","light_condition","road_condition","vehicle_types","alcohol_involved","drugs_involved","alcohol_level","quality_score","raw","segment_id"
2988,"{""police_cr"": ""060324000265""}","2024-04-23 10:50:00+00","2026-04-08 23:56:21.582606+00","2026-04-08 23:56:21.582606+00","2026-04-08 23:56:21.582606+00","0101000020E6100000DF8EE89EC2833040DF285E3772964840","Brno","Jihlavská","602","secondary","srážka - s jedoucím nekolejovým vozidlem","zezadu","nepřizpůsobení rychlosti - intenzitě (hustotě) provozu","řidičem - motorového vozidla","minor",0,0,1,NULL,3,120000,NULL,"neztížené","povrch suchý - neznečištěný","ve dne - viditelnost nezhoršená vlivem povětrnostních podmínek","dobrý, bez závad",NULL,False,False,NULL,100,"{""year"": ""2024"", ""source"": ""police-cr"", ""locality"": ""mimo obec"", ""priority"": ""žádná místní úprava"", ""direction"": ""přímý úsek"", ""unit_code"": ""15"", ""visibility"": ""dobré"", ""animal_type"": ""nejde o srážku se zvěří/zvířetem"", ""region_code"": ""06"", ""intersection"": ""mimo křižovatku"", ""district_code"": ""03"", ""obstacle_type"": ""nepříchází v úvahu - nejedná se o srážku s pevnou překážkou"", ""road_division"": ""dvoupruhová"", ""road_position"": ""na jízdním pruhu"", ""specific_place"": ""žádné nebo žádné z uvedených"", ""traffic_control"": ""žádný způsob řízení provozu"", ""road_surface_type"": ""živice"", ""accident_character"": ""nehoda - s následky na životě""}",9262
3061,"{""police_cr"": ""060224000566""}","2024-05-04 06:32:00+00","2026-04-08 23:56:23.298336+00","2026-04-08 23:56:23.298336+00","2026-04-08 23:56:23.298336+00","0101000020E6100000D9F33B1860973040E9BDDCC81E964840","Brno","Jihlavská","","street","srážka - s pevnou překážkou","nepřichází v úvahu - nejedná se o srážku jedoucích vozidel","nepřizpůsobení rychlosti - dopravně technickému stavu vozovky (zatáčka, klesání, stoupání, šířka vozovky apod.)","řidičem - nemotorového vozidla","minor",0,0,1,NULL,1,10000,NULL,"neztížené","povrch suchý - neznečištěný","ve dne - viditelnost nezhoršená vlivem povětrnostních podmínek","dobrý, bez závad",NULL,True,False,NULL,100,"{""year"": ""2024"", ""source"": ""police-cr"", ""locality"": ""v obci"", ""priority"": ""žádná místní úprava"", ""direction"": ""zatáčka"", ""unit_code"": ""18"", ""visibility"": ""dobré"", ""animal_type"": ""nejde o srážku se zvěří/zvířetem"", ""region_code"": ""06"", ""intersection"": ""mimo křižovatku"", ""district_code"": ""02"", ""obstacle_type"": ""sloup - telefonní, veřejného osvětlení, elektrického vedení, signalizace apod."", ""road_division"": ""dvoupruhová"", ""road_position"": ""mimo komunikaci"", ""specific_place"": ""žádné nebo žádné z uvedených"", ""traffic_control"": ""žádný způsob řízení provozu"", ""road_surface_type"": ""živice"", ""accident_character"": ""nehoda - s následky na životě""}",7927
3096,"{""police_cr"": ""060224000595""}","2024-05-09 15:00:00+00","2026-04-08 23:56:24.19163+00","2026-04-08 23:56:24.19163+00","2026-04-08 23:56:24.19163+00","0101000020E6100000EF3B745A5C8E30407A50638838964840","Brno","Jihlavská","","street","srážka - s jedoucím nekolejovým vozidlem","zezadu","řidič se plně nevěnoval řízení vozidla","řidičem - motorového vozidla","minor",0,0,1,NULL,3,130000,NULL,"neztížené","povrch suchý - neznečištěný","ve dne - viditelnost nezhoršená vlivem povětrnostních podmínek","dobrý, bez závad",NULL,False,False,NULL,100,"{""year"": ""2024"", ""source"": ""police-cr"", ""locality"": ""v obci"", ""priority"": ""žádná místní úprava"", ""direction"": ""přímý úsek"", ""unit_code"": ""18"", ""visibility"": ""dobré"", ""animal_type"": ""nejde o srážku se zvěří/zvířetem"", ""region_code"": ""06"", ""intersection"": ""mimo křižovatku"", ""district_code"": ""02"", ""obstacle_type"": ""nepříchází v úvahu - nejedná se o srážku s pevnou překážkou"", ""road_division"": ""vícepruhová"", ""road_position"": ""na jízdním pruhu"", ""specific_place"": ""žádné nebo žádné z uvedených"", ""traffic_control"": ""žádný způsob řízení provozu"", ""road_surface_type"": ""živice"", ""accident_character"": ""nehoda - s následky na životě""}",8742
3145,"{""police_cr"": ""060224000632""}","2024-05-14 22:00:00+00","2026-04-08 23:56:25.425853+00","2026-04-08 23:56:25.425853+00","2026-04-08 23:56:25.425853+00","0101000020E6100000A5F72D6116933040D44344723A964840","Brno","Jihlavská","","street","srážka - s vozidlem zaparkovaným, odstaveným","nepřichází v úvahu - nejedná se o srážku jedoucích vozidel","řidič se plně nevěnoval řízení vozidla","řidičem - motorového vozidla","property_damage",0,0,0,NULL,2,30000,NULL,"neztížené","povrch suchý - neznečištěný","ve dne - viditelnost nezhoršená vlivem povětrnostních podmínek","dobrý, bez závad",NULL,False,False,NULL,100,"{""year"": ""2024"", ""source"": ""police-cr"", ""locality"": ""v obci"", ""priority"": ""žádná místní úprava"", ""direction"": ""přímý úsek"", ""unit_code"": ""18"", ""visibility"": ""dobré"", ""animal_type"": ""nejde o srážku se zvěří/zvířetem"", ""region_code"": ""06"", ""intersection"": ""mimo křižovatku"", ""district_code"": ""02"", ""obstacle_type"": ""nepříchází v úvahu - nejedná se o srážku s pevnou překážkou"", ""road_division"": ""žádná z uvedených"", ""road_position"": ""na jízdním pruhu"", ""specific_place"": ""parkoviště přiléhající ke komunikaci"", ""traffic_control"": ""žádný způsob řízení provozu"", ""road_surface_type"": ""živice"", ""accident_character"": ""nehoda - pouze s hmotnou škodou""}",8107
3391,"{""police_cr"": ""060224000995""}","2024-07-15 13:20:00+00","2026-04-08 23:56:33.507121+00","2026-04-08 23:56:33.507121+00","2026-04-08 23:56:33.507121+00","0101000020E610000056FD4F5EFC9930400D3C9FDD18964840","Brno","Jihlavská","","street","srážka - s jedoucím nekolejovým vozidlem","zezadu","nedodržení bezpečné vzdálenosti za vozidlem","řidičem - motorového vozidla","minor",0,0,1,NULL,2,170000,NULL,"neztížené","povrch suchý - neznečištěný","ve dne - viditelnost nezhoršená vlivem povětrnostních podmínek","dobrý, bez závad",NULL,False,False,NULL,100,"{""year"": ""2024"", ""source"": ""police-cr"", ""locality"": ""v obci"", ""priority"": ""žádná místní úprava"", ""direction"": ""křižovatka styková - tříramenná"", ""unit_code"": ""18"", ""visibility"": ""dobré"", ""animal_type"": ""nejde o srážku se zvěří/zvířetem"", ""region_code"": ""06"", ""intersection"": ""na kžižovatce - jedná-li se o křížení místních komunikací, účelových komunikací nebo jde o mezilehlou křižovatku (na sledovaném úseku ve sledovaných městech)"", ""district_code"": ""02"", ""obstacle_type"": ""nepříchází v úvahu - nejedná se o srážku s pevnou překážkou"", ""road_division"": ""čtyřpruhová s dělícím pásem"", ""road_position"": ""na jízdním pruhu"", ""specific_place"": ""žádné nebo žádné z uvedených"", ""traffic_control"": ""světelným signalizačním zařízením"", ""intersecting_road"": ""6"", ""road_surface_type"": ""živice"", ""accident_character"": ""nehoda - s následky na životě""}",6856
3449,"{""police_cr"": ""060324000470""}","2024-06-20 07:04:00+00","2026-04-08 23:56:35.017857+00","2026-04-08 23:56:35.017857+00","2026-04-08 23:56:35.017857+00","0101000020E6100000658AB929538030403DA2B979A4964840","Troubsko","Jihlavská","602","secondary","srážka - s chodcem","nepřichází v úvahu - nejedná se o srážku jedoucích vozidel","nezaviněná řidičem","chodcem","minor",0,0,1,NULL,1,20000,NULL,"neztížené","povrch suchý - neznečištěný","ve dne - viditelnost nezhoršená vlivem povětrnostních podmínek","dobrý, bez závad",NULL,False,False,NULL,100,"{""year"": ""2024"", ""source"": ""police-cr"", ""locality"": ""v obci"", ""priority"": ""žádná místní úprava"", ""direction"": ""zatáčka"", ""unit_code"": ""15"", ""visibility"": ""dobré"", ""animal_type"": ""nejde o srážku se zvěří/zvířetem"", ""region_code"": ""06"", ""intersection"": ""mimo křižovatku"", ""district_code"": ""03"", ""obstacle_type"": ""nepříchází v úvahu - nejedná se o srážku s pevnou překážkou"", ""road_division"": ""dvoupruhová"", ""road_position"": ""na jízdním pruhu"", ""specific_place"": ""žádné nebo žádné z uvedených"", ""traffic_control"": ""žádný způsob řízení provozu"", ""road_surface_type"": ""živice"", ""accident_character"": ""nehoda - s následky na životě""}",9210
3591,"{""police_cr"": ""060224000977""}","2024-07-12 08:00:00+00","2026-04-08 23:56:38.930366+00","2026-04-08 23:56:38.930366+00","2026-04-08 23:56:38.930366+00","0101000020E610000017B7485E438C304067970E5F2D964840","Brno","Jihlavská","","street","srážka - s jedoucím nekolejovým vozidlem","boční","jízda po nesprávné straně vozovky, vjetí do protisměru","řidičem - motorového vozidla","property_damage",0,0,0,NULL,2,200000,NULL,"neztížené","povrch mokrý","ve dne - viditelnost nezhoršená vlivem povětrnostních podmínek","nesouvislé výtluky",NULL,True,False,NULL,100,"{""year"": ""2024"", ""source"": ""police-cr"", ""locality"": ""v obci"", ""priority"": ""žádná místní úprava"", ""direction"": ""přímý úsek"", ""unit_code"": ""18"", ""visibility"": ""dobré"", ""animal_type"": ""nejde o srážku se zvěří/zvířetem"", ""region_code"": ""06"", ""intersection"": ""mimo křižovatku"", ""district_code"": ""02"", ""obstacle_type"": ""nepříchází v úvahu - nejedná se o srážku s pevnou překážkou"", ""road_division"": ""dvoupruhová"", ""road_position"": ""na jízdním pruhu"", ""specific_place"": ""žádné nebo žádné z uvedených"", ""traffic_control"": ""žádný způsob řízení provozu"", ""road_surface_type"": ""živice"", ""accident_character"": ""nehoda - pouze s hmotnou škodou""}",8538
3652,"{""police_cr"": ""060224001018""}","2024-07-18 10:45:00+00","2026-04-08 23:56:40.468317+00","2026-04-08 23:56:40.468317+00","2026-04-08 23:56:40.468317+00","0101000020E610000011353E839D8030407DAD67E2A3964840","Troubsko","Jihlavská","","street","srážka - s jedoucím nekolejovým vozidlem","čelní","při vjíždění na silnici","řidičem - motorového vozidla","minor",0,0,1,NULL,2,80000,NULL,"neztížené","povrch suchý - neznečištěný","ve dne - viditelnost nezhoršená vlivem povětrnostních podmínek","dobrý, bez závad",NULL,False,False,NULL,100,"{""year"": ""2024"", ""source"": ""police-cr"", ""locality"": ""v obci"", ""priority"": ""přednost vyznačena dopravními značkami"", ""direction"": ""křižovatka styková - tříramenná"", ""unit_code"": ""15"", ""visibility"": ""dobré"", ""animal_type"": ""nejde o srážku se zvěří/zvířetem"", ""region_code"": ""06"", ""intersection"": ""na kžižovatce - jedná-li se o křížení místních komunikací, účelových komunikací nebo jde o mezilehlou křižovatku (na sledovaném úseku ve sledovaných městech)"", ""district_code"": ""03"", ""obstacle_type"": ""nepříchází v úvahu - nejedná se o srážku s pevnou překážkou"", ""road_division"": ""dvoupruhová"", ""road_position"": ""na jízdním pruhu"", ""specific_place"": ""žádné nebo žádné z uvedených"", ""traffic_control"": ""místní úprava"", ""intersecting_road"": ""6"", ""road_surface_type"": ""živice"", ""accident_character"": ""nehoda - s následky na životě""}",9210
3804,"{""police_cr"": ""060224001130""}","2024-08-07 15:30:00+00","2026-04-08 23:56:44.40894+00","2026-04-08 23:56:44.40894+00","2026-04-08 23:56:44.40894+00","0101000020E6100000F9041A7B2C9730403A5EAF061F964840","Brno","Jihlavská","","street","srážka - s jedoucím nekolejovým vozidlem","zezadu","nedodržení bezpečné vzdálenosti za vozidlem","řidičem - motorového vozidla","minor",0,0,1,NULL,2,35000,NULL,"neztížené","povrch suchý - neznečištěný","ve dne - viditelnost nezhoršená vlivem povětrnostních podmínek","dobrý, bez závad",NULL,False,False,NULL,100,"{""year"": ""2024"", ""source"": ""police-cr"", ""locality"": ""v obci"", ""priority"": ""žádná místní úprava"", ""direction"": ""přímý úsek"", ""unit_code"": ""18"", ""visibility"": ""dobré"", ""animal_type"": ""nejde o srážku se zvěří/zvířetem"", ""region_code"": ""06"", ""intersection"": ""mimo křižovatku"", ""district_code"": ""02"", ""obstacle_type"": ""nepříchází v úvahu - nejedná se o srážku s pevnou překážkou"", ""road_division"": ""dvoupruhová"", ""road_position"": ""na jízdním pruhu"", ""specific_place"": ""přechod pro chodce"", ""traffic_control"": ""žádný způsob řízení provozu"", ""road_surface_type"": ""živice"", ""accident_character"": ""nehoda - s následky na životě""}",7932
3814,"{""police_cr"": ""060224000981""}","2024-07-12 16:15:00+00","2026-04-08 23:56:44.688514+00","2026-04-08 23:56:44.688514+00","2026-04-08 23:56:44.688514+00","0101000020E610000049D3E3FA5E923040E7154B7A3F964840","Brno","Jihlavská","","street","srážka - s jedoucím nekolejovým vozidlem","čelní","při odbočování vlevo","řidičem - motorového vozidla","property_damage",0,0,0,NULL,2,50000,NULL,"déšť","povrch mokrý","ve dne - zhoršená viditelnost vlivem povětrnostních podmínek (mlha, sněžení, déšť apod.)","dobrý, bez závad",NULL,False,False,NULL,100,"{""year"": ""2024"", ""source"": ""police-cr"", ""locality"": ""v obci"", ""priority"": ""žádná místní úprava"", ""direction"": ""křižovatka styková - tříramenná"", ""unit_code"": ""18"", ""visibility"": ""dobré"", ""animal_type"": ""nejde o srážku se zvěří/zvířetem"", ""region_code"": ""06"", ""intersection"": ""na kžižovatce - jedná-li se o křížení místních komunikací, účelových komunikací nebo jde o mezilehlou křižovatku (na sledovaném úseku ve sledovaných městech)"", ""district_code"": ""02"", ""obstacle_type"": ""nepříchází v úvahu - nejedná se o srážku s pevnou překážkou"", ""road_division"": ""žádná z uvedených"", ""road_position"": ""žádné z uvedených"", ""specific_place"": ""žádné nebo žádné z uvedených"", ""traffic_control"": ""světelným signalizačním zařízením"", ""intersecting_road"": ""6"", ""road_surface_type"": ""živice"", ""accident_character"": ""nehoda - pouze s hmotnou škodou""}",8138
