"id","external_ids","external_version","event_time","ingested_at","valid_from","valid_to","first_seen","last_seen","location_point_geog","location_line_geog","city","street_name","road_number","road_type_code","km_from","km_to","direction","restriction_type","restriction_subtype","urgency","probability","severity","status","max_speed_kmh","description_cs","quality_score","raw","segment_id"
94476,"{""ndic"": ""228afce0-ed57-4b8d-bde5-4d940854e406""}",2,"2026-04-15 16:46:13+00","2026-04-15 16:46:14.687983+00","2026-04-07 09:45:00+00","2026-06-14 21:59:00+00","2026-04-15 16:46:14.687983+00","2026-04-15 16:46:14.690324+00","0101000020E61000000EAB71CECF8230408ECFDF0E84964840","0102000020E61000000200000034CD2AF3F28130406622D2DC949648401C5C8DA8AC833040EED6194073964840","Brno","Jihlavská","602","secondary",NULL,NULL,NULL,"contraflow","contraflow","normalUrgency","certain","moderate","active",NULL,"silnice II/602 (ulice Jihlavská), v katastru obce Troubsko, část obce Veselka, okr. Brno-venkov, stavební práce, provoz převeden do protisměru, Od 07.04.2026 11:45 Do 14.06.2026 23:59, Částečná uzavírka silnice II/602 - ul. Jihlavská v k.ú. Troubsko  z důvodu  provedení protlaků pod komunikací, Vydal: Městský úřad Šlapanice",100,"{""_format"": ""datex2"", ""_source"": ""ndic"", ""comment"": ""silnice II/602 (ulice Jihlavská), v katastru obce Troubsko, část obce Veselka, okr. Brno-venkov, stavební práce, provoz převeden do protisměru, Od 07.04.2026 11:45 Do 14.06.2026 23:59, Částečná uzavírka silnice II/602 - ul. Jihlavská v k.ú. Troubsko  z důvodu  provedení protlaků pod komunikací\n, Vydal: Městský úřad Šlapanice"", ""urgency"": ""normalUrgency"", ""xsiType"": ""RoadOrCarriagewayOrLaneManagement"", ""_ingestedAt"": ""2026-04-15T16:46:14.100004547Z"", ""situationId"": ""228afce0-ed57-4b8d-bde5-4d940854e406"", ""alertCLinear"": [{""countryCode"": ""CZ"", ""tableNumber"": ""25"", ""tableVersion"": ""11.0"", ""directionCoded"": ""negative"", ""primarySpecificLocation"": ""20879"", ""secondarySpecificLocation"": ""4820""}], ""overallEndTime"": ""2026-06-14T23:59:00+02:00"", ""validityStatus"": ""definedByValidityTimeSpec"", ""publicationTime"": ""2026-04-15T16:46:13Z"", ""overallStartTime"": ""2026-04-07T11:45:00+02:00"", ""situationVersion"": ""2"", ""informationStatus"": ""real"", ""situationRecordId"": ""228afce0-ed57-4b8d-bde5-4d940854e406_RoadOrCarriagewayOrLaneManagement"", ""globalNetworkLinear"": [{""segments"": [{""order"": ""0"", ""direction"": ""opposite"", ""sectionId"": ""3780865"", ""toPercent"": ""0"", ""fromPercent"": ""0.226561487811234""}, {""order"": ""1"", ""direction"": ""opposite"", ""sectionId"": ""3600611"", ""toPercent"": ""0"", ""fromPercent"": ""1""}, {""order"": ""2"", ""direction"": ""opposite"", ""sectionId"": ""3600609"", ""toPercent"": ""0"", ""fromPercent"": ""1""}, {""order"": ""3"", ""direction"": ""opposite"", ""sectionId"": ""3814235"", ""toPercent"": ""0"", ""fromPercent"": ""1""}, {""order"": ""4"", ""direction"": ""opposite"", ""sectionId"": ""3814234"", ""toPercent"": ""0"", ""fromPercent"": ""1""}, {""order"": ""5"", ""direction"": ""opposite"", ""sectionId"": ""4392999"", ""toPercent"": ""0"", ""fromPercent"": ""1""}, {""order"": ""6"", ""direction"": ""opposite"", ""sectionId"": ""4393544"", ""toPercent"": ""0"", ""fromPercent"": ""1""}, {""order"": ""7"", ""direction"": ""opposite"", ""sectionId"": ""2100300"", ""toPercent"": ""0.290354653444698"", ""fromPercent"": ""1""}, {""order"": ""1"", ""direction"": ""aligned"", ""sectionId"": ""2100300"", ""toPercent"": ""1"", ""fromPercent"": ""0.290354653444698""}, {""order"": ""2"", ""direction"": ""aligned"", ""sectionId"": ""4393544"", ""toPercent"": ""1"", ""fromPercent"": ""0""}, {""order"": ""3"", ""direction"": ""aligned"", ""sectionId"": ""4392999"", ""toPercent"": ""1"", ""fromPercent"": ""0""}, {""order"": ""4"", ""direction"": ""aligned"", ""sectionId"": ""3814234"", ""toPercent"": ""1"", ""fromPercent"": ""0""}, {""order"": ""5"", ""direction"": ""aligned"", ""sectionId"": ""3814235"", ""toPercent"": ""1"", ""fromPercent"": ""0""}, {""order"": ""6"", ""direction"": ""aligned"", ""sectionId"": ""3600609"", ""toPercent"": ""1"", ""fromPercent"": ""0""}, {""order"": ""7"", ""direction"": ""aligned"", ""sectionId"": ""3600611"", ""toPercent"": ""1"", ""fromPercent"": ""0""}, {""order"": ""8"", ""direction"": ""aligned"", ""sectionId"": ""3780865"", ""toPercent"": ""0.226561487811234"", ""fromPercent"": ""0""}], ""endSjtskX"": ""-605184.906338956"", ""endSjtskY"": ""-1162194.85509862"", ""startSjtskX"": ""-605660.972233781"", ""startSjtskY"": ""-1162028.01828247"", ""networkVersion"": ""25.12"", ""linearGeometryType"": ""continuous""}], ""situationVersionTime"": ""2026-04-07T11:46:21+02:00"", ""probabilityOfOccurrence"": ""certain"", ""roadOrCarriagewayOrLaneManagementType"": ""contraflow""}",9273
94492,"{""ndic"": ""0f85faee-289b-43b0-8b94-cfcd707ccc1d""}",1,"2026-04-15 16:46:13+00","2026-04-15 16:46:14.759769+00","2026-04-14 12:51:00+00","2026-04-30 21:59:00+00","2026-04-15 16:46:14.759769+00","2026-04-15 16:46:14.759769+00","0101000020E610000082BDCF18549530403738F8492B964840","0102000020E610000002000000DAF79F94399530400E34C80C2C964840A1E3FD9C6E953040E62F25872A964840","Brno","Jihlavská","602","secondary",NULL,NULL,NULL,"laneClosures","laneClosures","normalUrgency","certain","moderate","active",NULL,"silnice II/602 (ulice Jihlavská), Brno-Bohunice, Brno, odbočovací pruh uzavřen, Od 14.04.2026 14:51 Do 30.04.2026 23:59, zákaz levého odbočení z ul. Jihlavská do ul. Kamenice",100,"{""_format"": ""datex2"", ""_source"": ""ndic"", ""comment"": ""silnice II/602 (ulice Jihlavská), Brno-Bohunice, Brno, odbočovací pruh uzavřen, Od 14.04.2026 14:51 Do 30.04.2026 23:59, zákaz levého odbočení z ul. Jihlavská do ul. Kamenice"", ""urgency"": ""normalUrgency"", ""xsiType"": ""RoadOrCarriagewayOrLaneManagement"", ""_ingestedAt"": ""2026-04-15T16:46:14.102061907Z"", ""situationId"": ""0f85faee-289b-43b0-8b94-cfcd707ccc1d"", ""alertCLinear"": [{""countryCode"": ""CZ"", ""tableNumber"": ""25"", ""tableVersion"": ""11.0"", ""directionCoded"": ""negative"", ""primarySpecificLocation"": ""5950"", ""secondarySpecificLocation"": ""19529""}], ""overallEndTime"": ""2026-04-30T23:59:00+02:00"", ""validityStatus"": ""definedByValidityTimeSpec"", ""publicationTime"": ""2026-04-15T16:46:13Z"", ""overallStartTime"": ""2026-04-14T14:51:00+02:00"", ""situationVersion"": ""1"", ""informationStatus"": ""real"", ""situationRecordId"": ""0f85faee-289b-43b0-8b94-cfcd707ccc1d_RoadOrCarriagewayOrLaneManagement"", ""globalNetworkLinear"": [{""segments"": [{""order"": ""0"", ""direction"": ""aligned"", ""sectionId"": ""3826008"", ""toPercent"": ""1"", ""fromPercent"": ""0.698422577449715""}, {""order"": ""1"", ""direction"": ""aligned"", ""sectionId"": ""3826005"", ""toPercent"": ""0.639158624711391"", ""fromPercent"": ""0""}], ""endSjtskX"": ""-600183.948280902"", ""endSjtskY"": ""-1162987.7386232"", ""startSjtskX"": ""-600242.047974226"", ""startSjtskY"": ""-1162976.24245452"", ""networkVersion"": ""25.12"", ""linearGeometryType"": ""continuous""}], ""situationVersionTime"": ""2026-04-14T14:52:28+02:00"", ""probabilityOfOccurrence"": ""certain"", ""roadOrCarriagewayOrLaneManagementType"": ""laneClosures""}",7970
94493,"{""ndic"": ""4c0701b0-8d3f-4aae-b3de-5c1aea25b9b4""}",3,"2026-04-15 16:46:13+00","2026-04-15 16:46:14.762101+00","2026-04-13 22:00:00+00","2026-04-30 21:59:00+00","2026-04-15 16:46:14.762101+00","2026-04-15 16:46:14.764852+00","0101000020E61000002B44BADBF0933040787B41BA34964840","0102000020E61000000200000005FA3D6A4E943040CAE9676232964840CCEE244D939330404C19F51137964840","Brno","Jihlavská","602","secondary",NULL,NULL,NULL,"roadworks","roadworks","urgent","certain","serious","active",NULL,"silnice II/602 (ulice Jihlavská), Brno, uzavřeno, práce na inženýrských sítích, Od 14.04.2026 00:00 Do 30.04.2026 23:59, částečná uzavírka silnice II/602 ul. Jihlavská v úseku od ul. Netroufalky po ul. Kamenice (střídavě na straně vozovky ve směru do centra a   zároveň na straně vozovky ve směru z centra) - zachování průjezdu v režimu 1 + 1, Objížďka - bez rozlišení: pro ul. Na Pískové cestě je navržena: ul. Kamenice – ul. Akademická – ul. Jihlavská – ul. Osová – ul. Pod Nemocnicí; pro ul. Kamenice je navržena: ul. Akademická. , Vydal: Magistrát města Brna",100,"{""_format"": ""datex2"", ""_source"": ""ndic"", ""comment"": ""silnice II/602 (ulice Jihlavská), Brno, uzavřeno, práce na inženýrských sítích, Od 14.04.2026 00:00 Do 30.04.2026 23:59, částečná uzavírka silnice II/602 ul. Jihlavská v úseku od ul. Netroufalky po ul. Kamenice (střídavě na straně vozovky ve směru do centra a   zároveň na straně vozovky ve směru z centra) - zachování průjezdu v režimu 1 + 1, Objížďka - bez rozlišení: pro ul. Na Pískové cestě je navržena: ul. Kamenice – ul. Akademická – ul. Jihlavská – ul. Osová – ul. Pod Nemocnicí;\n\npro ul. Kamenice je navržena: ul. Akademická.\n, Vydal: Magistrát města Brna"", ""urgency"": ""urgent"", ""xsiType"": ""MaintenanceWorks"", ""_ingestedAt"": ""2026-04-15T16:46:14.102112517Z"", ""situationId"": ""4c0701b0-8d3f-4aae-b3de-5c1aea25b9b4"", ""alertCLinear"": [{""countryCode"": ""CZ"", ""tableNumber"": ""25"", ""tableVersion"": ""11.0"", ""directionCoded"": ""negative"", ""primarySpecificLocation"": ""4822"", ""secondarySpecificLocation"": ""5950""}], ""roadworksType"": ""roadworks"", ""overallEndTime"": ""2026-04-30T23:59:00+02:00"", ""validityStatus"": ""definedByValidityTimeSpec"", ""publicationTime"": ""2026-04-15T16:46:13Z"", ""overallStartTime"": ""2026-04-14T00:00:00+02:00"", ""situationVersion"": ""3"", ""informationStatus"": ""real"", ""situationRecordId"": ""4c0701b0-8d3f-4aae-b3de-5c1aea25b9b4_MaintenanceWorks"", ""globalNetworkLinear"": [{""segments"": [{""order"": ""0"", ""direction"": ""opposite"", ""sectionId"": ""4050159"", ""toPercent"": ""0"", ""fromPercent"": ""1""}, {""order"": ""1"", ""direction"": ""opposite"", ""sectionId"": ""3596279"", ""toPercent"": ""0"", ""fromPercent"": ""1""}, {""order"": ""2"", ""direction"": ""opposite"", ""sectionId"": ""720253"", ""toPercent"": ""0"", ""fromPercent"": ""1""}, {""order"": ""3"", ""direction"": ""opposite"", ""sectionId"": ""4781584"", ""toPercent"": ""0"", ""fromPercent"": ""1""}, {""order"": ""4"", ""direction"": ""opposite"", ""sectionId"": ""3826008"", ""toPercent"": ""0"", ""fromPercent"": ""1""}, {""order"": ""5"", ""direction"": ""opposite"", ""sectionId"": ""2966709"", ""toPercent"": ""0"", ""fromPercent"": ""1""}, {""order"": ""6"", ""direction"": ""opposite"", ""sectionId"": ""3813004"", ""toPercent"": ""0"", ""fromPercent"": ""1""}, {""order"": ""7"", ""direction"": ""opposite"", ""sectionId"": ""1294519"", ""toPercent"": ""0"", ""fromPercent"": ""1""}, {""order"": ""8"", ""direction"": ""opposite"", ""sectionId"": ""3694995"", ""toPercent"": ""0"", ""fromPercent"": ""1""}, {""order"": ""9"", ""direction"": ""opposite"", ""sectionId"": ""3596277"", ""toPercent"": ""0"", ""fromPercent"": ""1""}, {""order"": ""10"", ""direction"": ""opposite"", ""sectionId"": ""3813002"", ""toPercent"": ""0"", ""fromPercent"": ""1""}, {""order"": ""11"", ""direction"": ""opposite"", ""sectionId"": ""4050156"", ""toPercent"": ""0"", ""fromPercent"": ""1""}, {""order"": ""12"", ""direction"": ""opposite"", ""sectionId"": ""720249"", ""toPercent"": ""0"", ""fromPercent"": ""1""}, {""order"": ""13"", ""direction"": ""opposite"", ""sectionId"": ""4781538"", ""toPercent"": ""0"", ""fromPercent"": ""1""}, {""order"": ""14"", ""direction"": ""opposite"", ""sectionId"": ""1702907"", ""toPercent"": ""0"", ""fromPercent"": ""1""}, {""order"": ""15"", ""direction"": ""opposite"", ""sectionId"": ""2106276"", ""toPercent"": ""0"", ""fromPercent"": ""1""}], ""endSjtskX"": ""-600705.07"", ""endSjtskY"": ""-1162888.3888"", ""startSjtskX"": ""-600499.8321"", ""startSjtskY"": ""-1162926.6561"", ""networkVersion"": ""25.12"", ""linearGeometryType"": ""discontinuous""}], ""situationVersionTime"": ""2026-04-14T14:52:36+02:00"", ""probabilityOfOccurrence"": ""certain""}",8118
