"id","osm_id","geog","name","road_ref","road_class","city","max_speed"
8206,378442975,"0102000020E610000003000000092F66F09C90304086C77E164B96484015F6FE507A9030404BDDDFEA4A96484065AB26E3739030407A617CE24A964840","Jihlavská","602","secondary","Brno",50
8207,186633604,"0102000020E610000005000000215624CBEE903040578B998E4A96484095D8B5BDDD90304080666BD84A9648405877876FBC903040A40E3C084B9648407A63528DA89030406880C1244B964840092F66F09C90304086C77E164B964840","Jihlavská","602","secondary","Brno",50
8527,4043625,"0102000020E610000008000000DB221FAADF8930402D2059654B964840E688C6246D8A3040BFB0A140449648404D0F0A4AD18A3040A4390DAC3E9648404BA47E28E28A3040C9714CBB3D9648402416E75E168B30401D064E113B964840F152A005578B30400D31033A389648404E380543678B30404F0C248337964840D67BE019238C3040A09971642F964840","Jihlavská","602","secondary","Brno",50
8538,35278684,"0102000020E610000004000000D67BE019238C3040A09971642F964840D86E7143428C3040AD05AC0B2E964840C19206126F8C304037EFEEB72C964840BF3EDFBB728C3040BF76D5A82C964840","Jihlavská","602","secondary","Brno",50
8539,35278685,"0102000020E610000006000000BF3EDFBB728C3040BF76D5A82C964840097C8F44798C30406645798B2C9648404A3261EA9D8C30403132B7312C96484011830A58BC8C30403737A6272C964840F213BD42D58C3040E3F093B42C964840CB34F515FF8C3040368D92FC2D964840","Jihlavská","602","secondary","Brno",50
8571,421610452,"0102000020E6100000020000008A50114CDA8D3040D380E6183596484032BBDD81F08D3040E4A320D335964840","Jihlavská","602","secondary","Brno",50
8573,84812111,"0102000020E610000003000000FBFE72D2A08D30401BF1643733964840185DDE1CAE8D3040ECF6FEAB339648408A50114CDA8D3040D380E61835964840","Jihlavská","602","secondary","Brno",50
8576,84812093,"0102000020E610000002000000D9E3CF01938D3040E0AAA1C332964840FBFE72D2A08D30401BF1643733964840","Jihlavská","602","secondary","Brno",50
8577,8584952,"0102000020E610000002000000C26279FC838D3040AB69CD4532964840D9E3CF01938D3040E0AAA1C332964840","Jihlavská","602","secondary","Brno",50
8580,43386058,"0102000020E6100000020000008C6C42B51C8D304089CD6CFC2E96484090FFB8B3658D304082A8A04731964840","Jihlavská","602","secondary","Brno",50
8581,8584951,"0102000020E61000000200000090FFB8B3658D304082A8A04731964840C26279FC838D3040AB69CD4532964840","Jihlavská","602","secondary","Brno",50
8585,43386057,"0102000020E610000002000000CB34F515FF8C3040368D92FC2D9648408C6C42B51C8D304089CD6CFC2E964840","Jihlavská","602","secondary","Brno",50
8712,22731701,"0102000020E610000002000000E28B9BBFAE8F30408FB63BB5449648402672C119FC8F3040D6E6FF5547964840","Jihlavská","602","secondary","Brno",50
8715,117005821,"0102000020E6100000030000001F6228CC208F3040AFC7E9904096484095B48762978F3040541454F943964840E28B9BBFAE8F30408FB63BB544964840","Jihlavská","602","secondary","Brno",50
8716,39812452,"0102000020E610000003000000AD342905DD8E30409FAAE7493E964840FBCFF5D8F18E304009D16BFD3E9648401F6228CC208F3040AFC7E99040964840","Jihlavská","602","secondary","Brno",50
8739,117005822,"0102000020E610000002000000843B61D3948E3040EEDDD5613B964840F14BFDBCA98E3040E1E7644E3C964840","Jihlavská","602","secondary","Brno",50
8740,421610450,"0102000020E610000002000000D869FF5E658E3040E2AB1DC539964840843B61D3948E3040EEDDD5613B964840","Jihlavská","602","secondary","Brno",50
8742,421610451,"0102000020E61000000200000032BBDD81F08D3040E4A320D335964840D869FF5E658E3040E2AB1DC539964840","Jihlavská","602","secondary","Brno",50
9262,4043628,"0102000020E61000000B000000BD7ACB8B02853040970167295996484017F950FDDE833040FDAAB7616F964840025F76F464833040F25366947896484044CF77014083304044EA2C697B9648408C29FD29FA823040D67DB6C480964840F4064E6CF48230405385F53581964840DE25CC0FB782304050A15F0086964840C440D7BE808230402558C1148A9648405F6EE6464782304022EAF4728E964840B8C3CB7800823040C6BA5DD493964840B37515F7C4813040B20FB22C98964840","Jihlavská","602","secondary","Brno",90
